name,title,agency,acronym,division_path,phone,phone_2,division_phone,fax,address,city,state,zip,section,vacant,name_source,other_source_name
Tina Alzadon,"Deputy Commissioner, Capacity Planning & Development","Homeless Services, Department of",DHS,DHS Office of Capacity Planning and Development,(212) 487-3292,,,,33 Beaver St.,New York,NY,10004,City,,Green Book,
Xiomara Farquhar,"Deputy Commissioner, HIV/AIDS Services Administration (HASA)",Human Resources Administration / Department of Social Services,HRA DSS,HRA Office of Special Services,(929) 252-2120,,,,150 Greenwich St.,New York,NY,10007,City,,Green Book,
Agnes Rusin,Assistant Commissioner,Finance,DOF,"Customer Operations Division > Payments, Billings and Refunds",,,,,66 John St.,New York,NY,10038,City,,Green Book,
Carmela Quintos,"Assistant Commissioner, Property Valuation & Tax Mapping",Finance,DOF,Property Division,(212) 291-4876,,,,66 John St.,New York,NY,10039,City,,Green Book,
Timothy Sheares,Deputy Commissioner,Finance,DOF,Property Division,(212) 291-4886,,,,66 John St.,New York,NY,10039,City,,Green Book,
Kevin McGinn,Police Commissioner Designee,Civilian Complaint Review Board,CCRB,,,,,,100 Church St.,New York,NY,10007,City,,Green Book,
Athina McBean,"Deputy Commissioner, Equal Employment Opportunity & Access Community & Engagement","Homeless Services, Department of",DHS,"DSS Offices of Diversity, Equity and Inclusion",(929) 221-5139,,,,33 Beaver St.,New York,NY,10004,City,,Green Book,
Mary Christine Jackman,Assistant Commissioner,Finance,DOF,Customer Operations Division > Treasury,(212) 291-4840,,,,66 John St.,New York,NY,10038,City,,Green Book,
Neil Matthew,Executive Director,Financial Information Services Agency,FISA,,(212) 857-7301,,,(212) 857-1106,5 Manhattan West,New York,NY,10001,City,,Green Book,
Andrea Glick,First Deputy Executive Director,Financial Information Services Agency,FISA,Administration,(212) 742-5900,,,,5 Manhattan West,New York,NY,10001,City,,Green Book,
Kenny Minaya,Commissioner,Small Business Services,SBS,,(212) 513-6350,,,,One Liberty Plaza,New York,NY,10006,City,,Green Book,
Bryan Ahn,Deputy Executive Director,Financial Information Services Agency,FISA,HR/Payroll Systems,(212) 857-1495,,,,5 Manhattan West,New York,NY,10001,City,,Green Book,
Maureen A. Murphy,General Counsel,Financial Information Services Agency,FISA,Legal,(212) 857-1120,,,,5 Manhattan West,New York,NY,10001,City,,Green Book,
Odette Rivera,Executive Assistant,Financial Information Services Agency,FISA,Operations,(212) 857-1103,,,,5 Manhattan West,New York,NY,10001,City,,Green Book,
Peter Reddy,First Deputy Executive Director,Financial Information Services Agency,FISA,Operations,(212) 857-1541,,,,5 Manhattan West,New York,NY,10001,City,,Green Book,
Joyce Duverce,"Senior Vice President, Impact & Partnerships",Brooklyn Navy Yard Development Corporation,,,(347) 987-3922,,,,"141 Flushing Avenue, Suite 801",Brooklyn,NY,11205,City,,Green Book,
(vacant),"Associate Commissioner, Capital Program Delivery",Design and Construction,DDC,Public Buildings Division > Capital Program Delivery,,,,,30-30 Thomson Ave.,Long Island City,NY,11101,City,yes,Green Book,
Midori Valdivia,Acting Commissioner/Chair,Taxi & Limousine Commission,TLC,,(212) 676-1003,,,(212) 676-1100,33 Beaver St.,New York,NY,10004,City,,governance dataset,Evan Hines
Richard Lee,Commissioner,Finance,DOF,,(212) 602-7005,,,(212) 669-2275,1 Centre St.,New York,NY,10007,City,,Green Book,
Helen Foster,"Deputy Commissioner, HR Services",Human Resources Administration / Department of Social Services,HRA DSS,DSS Office of the Chief People Officer,(929) 221-5568,,,,150 Greenwich St.,New York,NY,10007,City,,Green Book,
Allison Gill-Lambert,General Counsel,"Homeless Services, Department of",DHS,DSS Office of Legal Affairs,(929) 221-7327,,,,33 Beaver St.,New York,NY,10004,City,,Green Book,
Denise DePrima,"Deputy Commissioner, Labor Relations",Human Resources Administration / Department of Social Services,HRA DSS,DSS Office of the Chief People Officer,(929) 221-5674,,,,150 Greenwich St.,New York,NY,10007,City,,Green Book,
Adam C. Waitzman,"Deputy Commissioner, Procedures","Homeless Services, Department of",DHS,DSS Office of Legal Affairs,(929) 221-6858,,,,33 Beaver St.,New York,NY,10004,City,,Green Book,
(vacant),Deputy Chief Legal Affairs Officer,Human Resources Administration / Department of Social Services,HRA DSS,DSS Office of Legal Affairs,(929) 221-6812,,,,150 Greenwich St.,New York,NY,10007,City,yes,Green Book,
Angela Johnson,Deputy Chief Information Officer,"Homeless Services, Department of",DHS,DSS Office of Information Technology Services,(929) 221-5976,,,,33 Beaver St.,New York,NY,10004,City,,Green Book,
Jamar Hooks,Deputy Commissioner,Human Resources Administration / Department of Social Services,HRA DSS,DSS Office of Strategy > Intergovernmental and Legislative Affairs,(929) 221-6681,,,,150 Greenwich St.,New York,NY,10007,City,,Green Book,
(vacant),Assistant Commissioner,Finance,DOF,Customer Operations Division > Collections,(212) 291-4433,,,,59 Maiden Ln.,New York,NY,10038,City,yes,Green Book,
(vacant),Chief of Staff,City Planning,DCP,,(212) 720-3238,,,(212) 720-3303,120 Broadway,New York,NY,10271,City,yes,Green Book,
Maite Junco,"Senior Vice Chancellor, Communications & Marketing",City University of New York,CUNY,,(646) 664-9318,,,,205 E. 42nd St.,New York,NY,10017,City,,Green Book,
Mohamed Attalia,"Vice Chancellor for Facilities Planning, Construction & Management",City University of New York,CUNY,,(646) 664-2605,,,,205 E. 42nd St.,New York,NY,10017,City,,Green Book,
Ilana Maier,"Vice President, Communications","Housing Development Corporation, NYC",HDC,,,,,,120 Broadway,New York,NY,10271,City,,Green Book,
Sasha Owen,Senior Vice Chancellor for Strategy and Policy Implementaton,City University of New York,CUNY,,(646) 664-9108,,,,205 E. 42nd St.,New York,NY,10017,City,,Green Book,
Kenneth Godiner,"Senior Vice Chancellor for Budget, Finance & Labor Relations and Chief Financial Officer",City University of New York,CUNY,,(646) 664-3014,,,,205 E. 42nd St.,New York,NY,10017,City,,Green Book,
Christopher Gonzalez,Chief Strategy Officer,"Homeless Services, Department of",DHS,DSS Office of Strategy,(929) 221-5890,,,,33 Beaver St.,New York,NY,10004,City,,Green Book,
Eusebio Formoso,Vice Chancellor for Information Technology and University Chief Information Officer,City University of New York,CUNY,,(646) 664-2365,,,,205 E. 42nd St.,New York,NY,10017,City,,Green Book,
Daniel Garodnick,Director,City Planning,DCP,,(212) 720-3200,,,(212) 720-3303,120 Broadway,New York,NY,10271,City,,governance dataset,Sideya Sherman
Denita Williams,"Executive Deputy Commissioner, Human Resources Solutions","Homeless Services, Department of",DHS,DSS Office of the Chief People Officer,(929) 221-5876,,,,33 Beaver St.,New York,NY,10004,City,,Green Book,
Alicia Glen,Chair,"Governors Island, Trust for",,,,,,,10 South St.,New York,NY,10004,City,,Green Book,
Chris Tepper,Chief Development Officer,"Governors Island, Trust for",,,(212) 440-2215,,,,10 South St.,New York,NY,10004,City,,Green Book,
Clare Newman,President & Chief Executive Officer,"Governors Island, Trust for",,,(212) 440-2200,,,,10 South St.,New York,NY,10004,City,,Green Book,
Marni Friedlander,General Counsel,"Governors Island, Trust for",,,(212) 440-2222,,,,10 South St.,New York,NY,10004,City,,Green Book,
Willa Padgett,Chief Financial Officer,"Governors Island, Trust for",,,(212) 440-2227,,,,10 South St.,New York,NY,10004,City,,Green Book,
Marcel Van Ooyen,President & CEO,GrowNYC,,,(212) 788-7900,,,,100 Gold St.,New York,NY,10038,City,,Green Book,
Clinton Daggan,Inspector General for the Department of Health and Mental Hygiene,"Health & Mental Hygiene, Department of",DOHMH,,(212) 825-5483,,,,42-09 28th St.,Long Island City,NY,11101,City,,Green Book,
"Michelle Morse MD, MPH",Chief Medical Officer,"Health & Mental Hygiene, Department of",DOHMH,,(347) 396-4844,,,,42-09 28th St.,Long Island City,NY,11101,City,,Green Book,
Jeff Hunter,Assistant Commissioner,"Health & Mental Hygiene, Department of",DOHMH,Division of Environmental Health > Bureau of Administration,(646) 632-6520,,,,125 Worth St.,New York,NY,10013,City,,Green Book,
Kerri Calderone,"Director, DOHMH Permits & Licensing","Health & Mental Hygiene, Department of",DOHMH,Division of Environmental Health > Bureau of Administration,(646) 632-6636,,,,125 Worth St.,New York,NY,10013,City,,Green Book,
Cassiopeia Toner,Assistant Commissioner,"Health & Mental Hygiene, Department of",DOHMH,Division of Mental Hygiene > Bureau of Administration,(347) 396-4128,,,,42-09 28th St.,Long Island City,NY,11101,City,,Green Book,
Aaron Belisle,Assistant Commissioner,"Health & Mental Hygiene, Department of",DOHMH,Office of Emergency Preparedness and Response > Bureau of Agency Preparedness & Response,(347) 396-2794,,,,42-09 28th St.,Long Island City,NY,11101,City,,Green Book,
"Sara Packman CPA, MBA",Assistant Commissioner,"Health & Mental Hygiene, Department of",DOHMH,Chief Operating Officer/ Executive Deputy Commissioner > Bureau of Audit Services,(347) 396-6679,,,,42-09 28th St.,Long Island City,NY,11101,City,,Green Book,
Anita Reyes,Assistant Commissioner,"Health & Mental Hygiene, Department of",DOHMH,Center for Health Equity & Community Wellness > Bureau of Bronx Neighborhood Health,(718) 508-0630,,,,42-09 28th St.,Long Island City,NY,11101,City,,Green Book,
"Zahriah McNatt DrPH, MHSA",Assistant Commissioner,"Health & Mental Hygiene, Department of",DOHMH,Center for Health Equity & Community Wellness > Bureau of Brooklyn Neighborhood Health,(718) 637-5316,,,,42-09 28th St.,Long Island City,NY,11101,City,,Green Book,
Anne Lopes,Interim Vice Chancellor for Academics and Faculty Affairs,City University of New York,CUNY,,(646) 664-9110,,,,205 E. 42nd St.,New York,NY,10017,City,,Green Book,
Althea Jackson,"Director, New York State Child Care Service Operations","Health & Mental Hygiene, Department of",DOHMH,Division of Environmental Health > Bureau of Child Care,(646) 632-6155,,,,125 Worth St.,New York,NY,10013,City,,Green Book,
Anita Richichi,"Director, Administration & Strategic Planning","Health & Mental Hygiene, Department of",DOHMH,Division of Environmental Health > Bureau of Child Care,(646) 632-6144,,,,125 Worth St.,New York,NY,10013,City,,Green Book,
Marnie Davidoff,Assistant Commissioner,"Health & Mental Hygiene, Department of",DOHMH,"Division of Mental Hygiene > Bureau of Children, Youth, Families and Developmental Disabilities",(347) 396-7071,,,,42-09 28th St.,Long Island City,NY,11101,City,,Green Book,
Kim Kessler JD,Assistant Commissioner,"Health & Mental Hygiene, Department of",DOHMH,Center for Health Equity & Community Wellness > Bureau of Chronic Disease Prevention,(347) 396-4678,,,,42-09 28th St.,Long Island City,NY,11101,City,,Green Book,
Darrin Taylor MPA,Assistant Commissioner,"Health & Mental Hygiene, Department of",DOHMH,Division of Disease Control > Bureau of Division Management and Systems Coordination,(347) 396-4175,,,,42-09 28th St.,Long Island City,NY,11101,City,,Green Book,
Agatha Guadagno MS. Ed,"Director, Queens Regional Office","Health & Mental Hygiene, Department of",DOHMH,Division of Family & Child Health > Bureau of Early Intervention,,,,,42-09 28th St.,Long Island City,NY,11101,City,,Green Book,
"Alicia Calev MA, MBA","Director, Bronx Regional Office","Health & Mental Hygiene, Department of",DOHMH,Division of Family & Child Health > Bureau of Early Intervention,,,,,42-09 28th St.,Long Island City,NY,11101,City,,Green Book,
"Lidiya Lednyak MA, JD",Assistant Commissioner,"Health & Mental Hygiene, Department of",DOHMH,Division of Family & Child Health > Bureau of Early Intervention,(347) 396-6868,,,,42-09 28th St.,Long Island City,NY,11101,City,,Green Book,
Joseph Pilewski,"Deputy Commissioner, General Support Services","Homeless Services, Department of",DHS,DSS Office of Operations,(929) 252-2795,,,,33 Beaver St.,New York,NY,10004,City,,Green Book,
Matthew Brune,Chief Operations Officer,Human Resources Administration / Department of Social Services,HRA DSS,DSS Office of Operations,(929) 221-6916,,,,150 Greenwich St.,New York,NY,10007,City,,Green Book,
Reesa Henderson,Acting DHS Administrator,"Homeless Services, Department of",DHS,DHS Executive Office,(212) 607-6202,,,,33 Beaver St.,New York,NY,10004,City,,Green Book,
David Starr MIA,Assistant Commissioner,"Health & Mental Hygiene, Department of",DOHMH,Office of Emergency Preparedness and Response > Bureau of Emergency Field Operations,(347) 396-2706,,,,42-09 28th St.,Long Island City,NY,11101,City,,Green Book,
"Mark K. Su MD, MPH","Director, NYC Poison Center","Health & Mental Hygiene, Department of",DOHMH,Division of Environmental Health > Bureau of Environmental Disease and Injury Prevention,(800) 222-1222,(212) 764-7667,,,125 Worth St.,New York,NY,10013,City,,Green Book,
Carolyn Olson,Assistant Commissioner,"Health & Mental Hygiene, Department of",DOHMH,Division of Environmental Health > Bureau of Environmental Surveillance and Policy,(646) 632-6544,,,,125 Worth St.,New York,NY,10013,City,,Green Book,
"Duncan Maru MD, PhD",Assistant Commissioner,"Health & Mental Hygiene, Department of",DOHMH,Center for Health Equity & Community Wellness > Bureau of Equitable Health Systems,(347) 396-4895,,,,42-09 28th St.,Long Island City,NY,11101,City,,Green Book,
Sheila Benjamin,Assistant Commissioner,"Health & Mental Hygiene, Department of",DOHMH,Division of Administration > Bureau of Facilities Planning & Administrative Services,(347) 396-6753,,,,42-09 28th St.,Long Island City,NY,11101,City,,Green Book,
Wei Xia,Assistant Commissioner,"Health & Mental Hygiene, Department of",DOHMH,Division of Finance > Bureau of Finance Administration & Planning,(347) 396-6220,,,,42-09 28th St.,Long Island City,NY,11101,City,,Green Book,
Magda Desdunes,"Ombudsperson, Food Safety Inspections","Health & Mental Hygiene, Department of",DOHMH,Division of Environmental Health > Bureau of Food Safety and Community Sanitation,(646) 632-6253,,,,125 Worth St.,New York,NY,10013,City,,Green Book,
Dermot Smyth,Vice Chancellor for Government Affairs,City University of New York,CUNY,,(646) 664-3004,,,,205 E. 42nd St.,New York,NY,10017,City,,Green Book,
"Sarah Braunstein, PhD",Assistant Commissioner,"Health & Mental Hygiene, Department of",DOHMH,"Division of Disease Control > Bureau of Hepatitis, HIV, and STI",(347) 396-7760,,,,42-09 28th St.,Long Island City,NY,11101,City,,Green Book,
Lauren Andersen,Vice Chancellor for Career Engagement and Industry Partnerships,City University of New York,CUNY,,(646) 664-3536,,,,205 E. 42nd St.,New York,NY,10017,City,,Green Book,
Reine T. Sarmiento,Vice Chancellor for Enrollment Management,City University of New York,CUNY,,(646) 664-2876,,,,205 E. 42nd St.,New York,NY,10017,City,,Green Book,
Jamie Neckles,Assistant Commissioner,"Health & Mental Hygiene, Department of",DOHMH,Division of Mental Hygiene > Bureau of Mental Health,(347) 396-7095,,,,42-09 28th St.,Long Island City,NY,11101,City,,Green Book,
John M. Beatty MPA,Assistant Commissioner,"Health & Mental Hygiene, Department of",DOHMH,Division of Administration > Bureau of Operations,(347) 396-6459,,,,42-09 28th St.,Long Island City,NY,11101,City,,Green Book,
Joaquin Aracena MA,"Assistant Commissioner, Public Health Clinics","Health & Mental Hygiene, Department of",DOHMH,Division of Disease Control > Bureau of Public Health Clinics,(347) 396-2540,,,,42-09 28th St.,Long Island City,NY,11101,City,,Green Book,
Rachel Stephenson,Chief Transformation Officer,City University of New York,CUNY,,(646) 664-8001,,,,205 E. 42nd St.,New York,NY,10017,City,,Green Book,
G. Joanne Yarde,Assistant Commissioner & Controller,"Health & Mental Hygiene, Department of",DOHMH,Division of Finance > Bureau of the Controller,(347) 396-6417,,,,42-09 28th St.,Long Island City,NY,11101,City,,Green Book,
Derek Davis,Senior Vice Chancellor for Legal Affairs and General Counsel,City University of New York - Board of Trustees,,,(646) 664-9210,,,,205 E. 42nd St.,New York,NY,10017,City,,Green Book,
"Joseph Burzynski MD, MPH",Assistant Commissioner,"Health & Mental Hygiene, Department of",DOHMH,Division of Disease Control > Bureau of Tuberculosis Control,(718) 786-5510,,,,42-09 28th St.,Long Island City,NY,11101,City,,Green Book,
"Mario Merlino MS, MPH",Assistant Commissioner,"Health & Mental Hygiene, Department of",DOHMH,Division of Environmental Health > Bureau of Veterinary and Pest Control Services,(646) 364-1740,,(646) 364-1799,,22 Cortlandt St.,New York,NY,10007,City,,Green Book,
Denise B. Maybank,Vice Chancellor for Student Affairs & Enrollment Management,City University of New York,CUNY,,(646) 664-2918,,,,205 E. 42nd St.,New York,NY,10017,City,,Green Book,
"Michelle Morse MD, MPH",Deputy Commissioner,"Health & Mental Hygiene, Department of",DOHMH,Center for Health Equity & Community Wellness,(347) 396-4844,,,,42-09 28th St.,Long Island City,NY,11101,City,,Green Book,
Emiko Otsubo MSW,Chief Operating Officer/ Executive Deputy Commissioner,"Health & Mental Hygiene, Department of",DOHMH,Chief Operating Officer/ Executive Deputy Commissioner,(347) 396-4071,,,,42-09 28th St.,Long Island City,NY,11101,City,,Green Book,
Todd Michael Galitz,Vice Chancellor for University Advancement,City University of New York,CUNY,,(646) 664-3207,,,,205 E. 42nd St.,New York,NY,10017,City,,Green Book,
Marcia O'Connor,"Director, District Operations","Health & Mental Hygiene, Department of",DOHMH,District Health Centers,(718) 838-6354,(347) 245-0333,,,42-09 28th St.,Long Island City,NY,11101,City,,Green Book,
Julie Friesen,Deputy Commissioner,"Health & Mental Hygiene, Department of",DOHMH,Division of Administration,(347) 396-6509,,,,42-09 28th St.,Long Island City,NY,11101,City,,Green Book,
Fabienne Laraque,"DSS Chief Medical Officer, Office of the Medical Director","Homeless Services, Department of",DHS,DSS Office of the Chief Medical Director,(212) 361-7990,,,,33 Beaver St.,New York,NY,10004,City,,Green Book,
Anne M. Fenton,Secretary of the Board of Trustees,City University of New York,CUNY,,(646) 664-9011,,,,205 E. 42nd St.,New York,NY,10017,City,,Green Book,
Scott Liu,Deputy Commissioner & Chief Information Officer,"Health & Mental Hygiene, Department of",DOHMH,Division of Information Technology,(347) 396-6031,,,,42-09 28th St.,Long Island City,NY,11101,City,,Green Book,
Beth Maldin MPH,Deputy Commissioner,"Health & Mental Hygiene, Department of",DOHMH,Office of Emergency Preparedness and Response,(347) 396-2688,,,,42-09 28th St.,Long Island City,NY,11101,City,,Green Book,
Bowen Liu,"Executive Director, Administration","Health & Mental Hygiene, Department of",DOHMH,Office of External Affairs,(347) 396-4033,,,,42-09 28th St.,Long Island City,NY,11101,City,,Green Book,
Maura Kennelly,Deputy Commissioner,"Health & Mental Hygiene, Department of",DOHMH,Office of External Affairs,(347) 396-4279,,,,42-09 28th St.,Long Island City,NY,11101,City,,Green Book,
Judi Rich Soehren,Assistant Commissioner & Agency Chief Contracting Officer,"Health & Mental Hygiene, Department of",DOHMH,Division of Finance > Office of the Agency Chief Contracting Officer,(347) 396-6644,,,,42-09 28th St.,Long Island City,NY,11101,City,,Green Book,
Bernadette O'Donnell JD,Records Access Officer,"Health & Mental Hygiene, Department of",DOHMH,Office of the General Counsel,(347) 396-6116,,,,42-09 28th St.,Long Island City,NY,11101,City,,Green Book,
(vacant),Commission Secretary,City Planning Commission,CPC,,(212) 720-3300,,,,120 Broadway,New York,NY,10271,City,yes,Green Book,
Kinsey Dinan,"Deputy Commissioner, Research and Policy Innovation","Homeless Services, Department of",DHS,DSS Office of Program Performance and Financial Management,(929) 221-7349,,,,33 Beaver St.,New York,NY,10004,City,,Green Book,
Alec Schierenbeck,Counsel,City Planning,DCP,,(212) 720-3500,,,(212) 720-3303,120 Broadway,New York,NY,10271,City,,Green Book,
Aaron Mettey,Executive Director,"Health & Mental Hygiene, Department of",DOHMH,Chief Operating Officer/ Executive Deputy Commissioner > Strategic Operations & Performance Management,(347) 396-4082,,,,42-09 28th St.,Long Island City,NY,11101,City,,Green Book,
"Andrea Cohen, Esq.",Senior Vice President and General Counsel,"Health + Hospitals / Board of Directors, NYC",,,(212) 788-3300,,,,50 Water St.,New York,NY,10004,City,,Green Book,
Colicia Hercules,Chief of Staff to the Board/Secretary to the Corporation,"Health + Hospitals / Board of Directors, NYC",,,(212) 788-3365,,,,50 Water St.,New York,NY,10004,City,,Green Book,
Alicia M. Alvero,Executive Vice Chancellor and University Provost,City University of New York,CUNY,,(646) 664-9110,,,,205 E. 42nd St.,New York,NY,10017,City,,Green Book,
Mitchell Katz,President & CEO,"Health + Hospitals NYC, (NYC H+H)",,,(212) 788-3321,,,,50 Water St.,New York,NY,10004,City,,Green Book,
Catherine Patsos,Chief Corporate Compliance Officer,"Health + Hospitals NYC, (NYC H+H)",,Corporate Compliance,(646) 458-5632,,,,50 Water St.,New York,NY,10004,City,,Green Book,
Patricia Yang DRPH,Senior Vice President,"Health + Hospitals NYC, (NYC H+H)",,Correctional Health,(646) 614-0014,,,,50 Water St.,New York,NY,10004,City,,Green Book,
Theodore Long,Senior Vice President,"Health + Hospitals NYC, (NYC H+H)",,"Division of Ambulatory Care, Test & Trace Corps",(646) 815-4040,,,,50 Water St.,New York,NY,10004,City,,Green Book,
Manuel Saez,Vice President,"Health + Hospitals NYC, (NYC H+H)",,Division of Capital & Design/Facilities Development,(646) 694-6666,,,,50 Water St.,New York,NY,10004,City,,Green Book,
John Ulberg,Senior Vice President,"Health + Hospitals NYC, (NYC H+H)",,Division of Finance,(212) 788-3449,,,,50 Water St.,New York,NY,10004,City,,Green Book,
Yvette Villanueva,Senior Vice President,"Health + Hospitals NYC, (NYC H+H)",,Division of Human Resources & Diversity Inclusion,(212) 788-9684,,,,50 Water St.,New York,NY,10004,City,,Green Book,
Machelle Allen,Senior Vice President/Chief Medical Officer,"Health + Hospitals NYC, (NYC H+H)",,Division of Medical Affairs,(212) 442-4739,,,,50 Water St.,New York,NY,10004,City,,Green Book,
Eric Wei,Senior Vice President,"Health + Hospitals NYC, (NYC H+H)",,Division of Quality/Emergency Management,(646) 815-4039,,,,50 Water St.,New York,NY,10004,City,,Green Book,
Danielle DiBari,"Senior Vice President, Chief Pharmacy Officer","Health + Hospitals NYC, (NYC H+H)",,Division of Supply Chain/Pharmacy Business Operations,(646) 815-4625,,,,50 Water St.,New York,NY,10004,City,,Green Book,
Kim Mendez,Senior Vice President & Chief Information Officer,"Health + Hospitals NYC, (NYC H+H)",,Information Technology,(646) 694-5863,,,,50 Water St.,New York,NY,10004,City,,Green Book,
Matthew Siegler,Senior Vice President,"Health + Hospitals NYC, (NYC H+H)",,Managed Care & Patient Growth,(212) 788-3321,,,,50 Water St.,New York,NY,10004,City,,Green Book,
Natalia Cineas RN,"Senior Vice President, Chief Nursing Executive","Health + Hospitals NYC, (NYC H+H)",,Nursing,(212) 442-3628,,,,50 Water St.,New York,NY,10004,City,,Green Book,
Ivelesse Mendez-Justiniano,Vice President,"Health + Hospitals NYC, (NYC H+H)",,Office of Diversity Equality and Inclusion,(212) 788-3674,,,,50 Water St.,New York,NY,10004,City,,Green Book,
"Andrea Cohen, Esq.","General Counsel, Office of Legal Affairs","Health + Hospitals NYC, (NYC H+H)",,Office of Legal Affairs & Labor Relations,(212) 788-3300,,,,50 Water St.,New York,NY,10004,City,,Green Book,
Khoi Luong,Senior Vice President,"Health + Hospitals NYC, (NYC H+H)",,Post Acute Care,(212) 442-9122,,,,50 Water St.,New York,NY,10004,City,,Green Book,
Anne M. Fenton,Secretary of the Board,City University of New York - Board of Trustees,,,(646) 664-9011,,,,205 E. 42nd St.,New York,NY,10017,City,,Green Book,
Rosemarie D. Wesson,Associate Vice Chancellor and University Vice Provost for Research,City University of New York,CUNY,,(646) 664-8910,,,,205 E. 42nd St.,New York,NY,10017,City,,Green Book,
Raymond Medina,Diversity Officer,Human Resources Administration / Department of Social Services,HRA DSS,"DSS Office of Diversity, Equity and Inclusion",(929) 221-7346,,,,150 Greenwich St.,New York,NY,10007,City,,Green Book,
Derek Davis,Senior Vice Chancellor for Legal Affairs and General Counsel,City University of New York,CUNY,,(646) 664-9210,,,,205 E. 42nd St.,New York,NY,10017,City,,Green Book,
Saratu Ghartey,DSS First Deputy Commissioner,"Homeless Services, Department of",DHS,DSS Office of the First Deputy Commissioner,(929) 221-7016,,,,33 Beaver St.,New York,NY,10004,City,,Green Book,
(vacant),"Deputy Commissioner, Mental Health","Homeless Services, Department of",DHS,DSS Office of the Chief Medical Director,,,,,33 Beaver St.,New York,NY,10004,City,yes,Green Book,
Allison Gill-Lambert,General Counsel,Human Resources Administration / Department of Social Services,HRA DSS,DSS Office of Legal Affairs,(929) 221-7327,,,,150 Greenwich St.,New York,NY,10007,City,,Green Book,
Randa Henry-Jenkins,"Deputy Commissioner, Home Care Services Program",Human Resources Administration / Department of Social Services,HRA DSS,HRA Office of Special Services,(929) 221-0848,,,,150 Greenwich St.,New York,NY,10007,City,,Green Book,
Kafi Hadaway,"Associate Commissioner, Vacancy Control","Homeless Services, Department of",DHS,"DHS Office of Shelter Intake, Assessment & Operational Capacity",(212) 361-6800,,,,33 Beaver St.,New York,NY,10004,City,,Green Book,
Suresh Chinnakoytia,"Deputy Commissioner, Enterprise Solutions Engineering","Homeless Services, Department of",DHS,DSS Office of Information Technology Services,(929) 221-4498,,,,33 Beaver St.,New York,NY,10004,City,,Green Book,
William DiStefano,"Associate Commissioner, Shelter Intake and Assessment","Homeless Services, Department of",DHS,"DHS Office of Shelter Intake, Assessment & Operational Capacity",(212) 232-0563,,,,33 Beaver St.,New York,NY,10004,City,,Green Book,
Karl Snyder,"Deputy Commissioner, Performance Management &amp; Data Analytics",Human Resources Administration / Department of Social Services,HRA DSS,DSS Office of Program Performance and Financial Management,(929) 221-7043,,,,150 Greenwich St.,New York,NY,10007,City,,Green Book,
Bedros Boodanian,Chief Accountability Officer,"Homeless Services, Department of",DHS,DSS Office of Program Accountability,(212) 274-5600,,,,33 Beaver St.,New York,NY,10004,City,,Green Book,
(vacant),"Press Secretary, Press Relations and Communications","Homeless Services, Department of",DHS,DSS Office of Strategy,,,,,33 Beaver St.,New York,NY,10004,City,yes,Green Book,
Iris Rodriguez,Chief of Shelter Operations,"Homeless Services, Department of",DHS,DHS Office of Shelter Operations,(212) 361-6504,,,,33 Beaver St.,New York,NY,10004,City,,Green Book,
Beatriz Fritschler,"Deputy Commissioner, Strategic Partnerships",Human Resources Administration / Department of Social Services,HRA DSS,DSS Office of Strategy,(929) 221-7326,,,,150 Greenwich St.,New York,NY,10007,City,,Green Book,
Meghan Smith,"Deputy Commissioner, Housing Supply Programs",Human Resources Administration / Department of Social Services,HRA DSS,HRA Office of Housing Services,(212) 607-5223,,,,150 Greenwich St.,New York,NY,10007,City,,Green Book,
Ramon Flores,"Executive Deputy Commissioner, Family Independence Administration (FIA)",Human Resources Administration / Department of Social Services,HRA DSS,HRA Office of Programs,(929) 221-6934,,,,150 Greenwich St.,New York,NY,10007,City,,Green Book,
Kevin Thrun,"Deputy Commissioner, Program Development","Homeless Services, Department of",DHS,DHS Office of Program Development,(718) 716-6519,,,,33 Beaver St.,New York,NY,10004,City,,Green Book,
(vacant),Deputy Commissioner,Small Business Services,SBS,Division of Citywide Workforce Opportunity,,,,,One Liberty Plaza,New York,NY,10006,City,yes,Green Book,
(vacant),Chief Housing Services Officer,Human Resources Administration / Department of Social Services,HRA DSS,HRA Office of Housing Services,(212) 607-6202,,,,150 Greenwich St.,New York,NY,10007,City,yes,Green Book,
Eva Trimble,Chief Operating Officer,"Housing Authority, NYC",NYCHA,,(212) 306-4663,,,,90 Church St.,New York,NY,10007,City,,Green Book,
Kristy Buller,Vice President of Communications,"Housing Authority, NYC",NYCHA,,(212) 306-4469,,,,90 Church St.,New York,NY,10007,City,,Green Book,
Lisa Bova-Hiatt,Chief Executive Officer,"Housing Authority, NYC",NYCHA,,(212) 306-3420,,,,90 Church St.,New York,NY,10007,City,,Green Book,
Patrick O'Hagan,"Vice President, Environmental Health & Safety","Housing Authority, NYC",NYCHA,,(212) 306-8660,,,,90 Church St.,New York,NY,10007,City,,Green Book,
Velvaunche Priester,"Deputy Commissioner, Shelter Security Management","Homeless Services, Department of",DHS,DHS Office of Operations,(212) 361-0958,,,,33 Beaver St.,New York,NY,10004,City,,Green Book,
Vilma Huertas,Special Advisor to the CEO,"Housing Authority, NYC",NYCHA,,(212) 306-8887,,,,90 Church St.,New York,NY,10007,City,,Green Book,
